Combo Ingredients,FDA Combo Products,HSA Combo Products,FDA Combo Count,HSA Combo Count,Combo/Formulation Availability,Other Country Component Coverage,Combo/Formulation Reason
atenolol + chlortalidone,TENORETIC 100 | TENORETIC 50,,2,0,FDA_COMBO_ONLY,missing components in HSA: chlortalidone,FDA has exact combo; HSA exact combo absent; missing components in HSA: chlortalidone
atezolizumab + hyaluronidase,TECENTRIQ HYBREZA,,1,0,FDA_COMBO_ONLY,all components standalone in HSA,FDA has exact combo; HSA exact combo absent; all components standalone in HSA
atoltivimab + maftivimab + odesivimab,INMAZEB,,1,0,FDA_COMBO_ONLY,"missing components in HSA: atoltivimab, maftivimab, odesivimab","FDA has exact combo; HSA exact combo absent; missing components in HSA: atoltivimab, maftivimab, odesivimab"
atropine + difenoxin,MOTOFEN | MOTOFEN HALF-STRENGTH,,2,0,FDA_COMBO_ONLY,missing components in HSA: difenoxin,FDA has exact combo; HSA exact combo absent; missing components in HSA: difenoxin
atropine + edrophonium,ENLON-PLUS,,1,0,FDA_COMBO_ONLY,missing components in HSA: edrophonium,FDA has exact combo; HSA exact combo absent; missing components in HSA: edrophonium
atropine + pralidoxime,ATNAA | DUODOTE,,2,0,FDA_COMBO_ONLY,all components standalone in HSA,FDA has exact combo; HSA exact combo absent; all components standalone in HSA
avibactam + aztreonam,EMBLAVEO,,1,0,FDA_COMBO_ONLY,"all components present in HSA, but exact combo absent","FDA has exact combo; HSA exact combo absent; all components present in HSA, but exact combo absent"
avobenzone + ecamsule + octocrylene,ANTHELIOS SX | CAPITAL SOLEIL 15,,2,0,FDA_COMBO_ONLY,"missing components in HSA: avobenzone, ecamsule, octocrylene","FDA has exact combo; HSA exact combo absent; missing components in HSA: avobenzone, ecamsule, octocrylene"
avobenzone + ecamsule + octocrylene + titanium dioxide,ANTHELIOS 20 | ANTHELIOS 40,,2,0,FDA_COMBO_ONLY,"missing components in HSA: avobenzone, ecamsule, octocrylene","FDA has exact combo; HSA exact combo absent; missing components in HSA: avobenzone, ecamsule, octocrylene"
avobenzone + octinoxate + oxybenzone,SHADE UVAGUARD,,1,0,FDA_COMBO_ONLY,"missing components in HSA: avobenzone, octinoxate, oxybenzone","FDA has exact combo; HSA exact combo absent; missing components in HSA: avobenzone, octinoxate, oxybenzone"
avutometinib + defactinib,AVMAPKI FAKZYNJA CO-PACK (COPACKAGED),,1,0,FDA_COMBO_ONLY,"missing components in HSA: avutometinib, defactinib","FDA has exact combo; HSA exact combo absent; missing components in HSA: avutometinib, defactinib"
azatadine + pseudoephedrine,TRINALIN,,1,0,FDA_COMBO_ONLY,missing components in HSA: azatadine,FDA has exact combo; HSA exact combo absent; missing components in HSA: azatadine
azilsartan medoxomil + chlortalidone,EDARBYCLOR,,1,0,FDA_COMBO_ONLY,"missing components in HSA: azilsartan medoxomil, chlortalidone","FDA has exact combo; HSA exact combo absent; missing components in HSA: azilsartan medoxomil, chlortalidone"
azithromycin + trovafloxacin,TROVAN/ZITHROMAX COMPLIANCE PAK,,1,0,FDA_COMBO_ONLY,missing components in HSA: trovafloxacin,FDA has exact combo; HSA exact combo absent; missing components in HSA: trovafloxacin
bacitracin + hydrocortisone + neomycin + polymyxin b,CORTISPORIN,,1,0,FDA_COMBO_ONLY,"all components present in HSA, but exact combo absent","FDA has exact combo; HSA exact combo absent; all components present in HSA, but exact combo absent"
